,profile_name, subscriber , view , video ,country,category,since, last_subscriber_30 , last_view_30 , min_month_earnings , max_month_earnings , 2016_views , 2017_views , 2018_views , 2019_views , 2020_views , 2021_views , 2022_views , 2023_views , 2024_views , 2016_subscribers , 2017_subscribers , 2018_subscribers , 2019_subscribers , 2020_subscribers , 2021_subscribers , 2022_subscribers , 2023_subscribers , 2024_subscribers 
619,Bolero Gia Tiến," 642,000.00 "," 67,559,069.00 ", 296.00 ,Saudi Arabia (SA),Music,2019, -   ," 32,924.00 ", 12.00 , 74.00 , -   , -   , -   ," 63,379,205.00 "," 36,508,470.00 "," 35,476,734.00 "," 1,896,990.00 "," 783,794.00 "," 467,344.00 ", -   , -   , -   , -   , -   , -   ," 647,000.00 "," 3,000.00 "," 2,000.00 "
620,Ae Group Movies," 640,000.00 "," 54,804,184.00 ", 228.00 ,Saudi Arabia (SA),People & Blogs,2017, -   ," 16,973.00 ", 6.00 , 38.00 , -   , -   , -   , -   , -   , -   , -   ," 56,521,692.00 "," 1,717,508.00 ", -   , -   , -   , -   , -   , -   , -   ," 633,000.00 "," 7,000.00 "
621,Ahmed Qadhi," 640,000.00 "," 41,789,997.00 ", 127.00 ,Saudi Arabia (SA),Entertainment,2010," (1,000.00)"," 1,179.00 ", -   , 2.00 ," 36,276,286.00 "," 4,279,173.00 "," 2,690,783.00 "," 836,376.00 "," 456,411.00 "," 422,567.00 "," 3,214,524.00 "," 42,244.00 ", 681.00 ," 632,452.00 "," 39,153.00 "," 18,688.00 "," 8,293.00 "," 12,000.00 "," 12,000.00 "," 7,000.00 "," 6,000.00 "," 5,000.00 "
622,Fzx Ll فواز," 639,000.00 "," 34,317,703.00 ", 231.00 ,Saudi Arabia (SA),general,2019," 19,000.00 "," 1,392,905.00 ", 522.00 ," 3,130.00 ", -   , -   , -   , -   , -   , -   , -   , -   ," 34,317,703.00 ", -   , -   , -   , -   , -   , -   , -   , -   ," 639,000.00 "
623,Sal," 635,000.00 "," 9,960,827.00 ", 23.00 ,Saudi Arabia (SA),People & Blogs,2011, -   ," 1,458.00 ", -   , 3.00 ," 17,799,749.00 "," 8,161,302.00 "," 5,461,247.00 "," 4,017,527.00 "," 1,019,951.00 "," 373,338.00 "," 234,576.00 "," 27,128,848.00 "," 21,985.00 "," 386,379.00 "," 143,967.00 "," 85,858.00 "," 47,796.00 "," 1,000.00 "," 10,000.00 "," 9,000.00 "," 6,000.00 "," 5,000.00 "
624,مايسترو | Maistro," 633,000.00 ", 713.00 , 8.00 ,Saudi Arabia (SA),People & Blogs,2015, -   ," 617,050.00 ", -   , 231.00 ," 36,175,166.00 "," 74,344,541.00 "," 44,671,870.00 "," 155,144,383.00 "," 43,588.00 "," 90,886.00 "," 170,714.00 "," 206,613.00 "," 471,106.00 "," 102,246.00 "," 264,272.00 "," 279,936.00 "," 646,454.00 "," 654,000.00 "," 9,000.00 "," 6,000.00 "," 3,000.00 "," 3,000.00 "
625,𝑺𝒀𝑹𝑰𝑨," 643,000.00 "," 207,280,443.00 "," 2,087.00 ",Saudi Arabia (SA),Film & Animation,2021," 57,000.00 "," 44,886,531.00 "," 16,800.00 "," 101,000.00 ", -   , -   , -   , -   , -   , -   , -   ," 25,909,193.00 "," 181,371,250.00 ", -   , -   , -   , -   , -   , -   , -   ," 305,000.00 "," 338,000.00 "
626,صندوق," 631,000.00 "," 29,763,661.00 ", 73.00 ,Saudi Arabia (SA),Entertainment,2016, -   ," 2,316.00 ", -   , 5.00 ," 708,449.00 "," 2,722,210.00 "," 10,022,410.00 "," 14,956,337.00 "," 7,388,327.00 "," 3,999,288.00 "," 10,275,444.00 "," 188,215.00 "," 53,869.00 "," 61,695.00 "," 109,585.00 "," 182,123.00 "," 183,597.00 "," 76,000.00 "," 29,000.00 "," 1,000.00 "," 7,000.00 "," 5,000.00 "
627,هموشة في البادية," 629,000.00 "," 81,170,455.00 ", 968.00 ,Saudi Arabia (SA),Pets & Animals,2016," 1,000.00 "," 557,998.00 ", 209.00 ," 1,260.00 ", -   , -   ," 56,669,136.00 "," 56,045,964.00 "," 19,146,213.00 "," 36,437,512.00 "," 12,604,955.00 "," 5,048,392.00 "," 7,310,211.00 ", -   , -   ," 218,076.00 "," 175,924.00 "," 117,000.00 "," 74,000.00 "," 20,000.00 "," 11,000.00 "," 13,000.00 "
628,صياد," 628,000.00 "," 116,500,597.00 "," 1,845.00 ",Saudi Arabia (SA),Gaming,2013, -   ," 22,977.00 ", 8.00 , 51.00 , -   ," 10,067,623.00 "," 43,332,114.00 "," 23,907,207.00 "," 8,938,726.00 "," 29,034,962.00 "," 88,172.00 "," 722,587.00 "," 409,206.00 ", -   ," 96,330.00 "," 295,189.00 "," 124,481.00 "," 23,000.00 "," 102,000.00 "," 4,000.00 "," 6,000.00 "," 3,000.00 "
